Source Cell ID,Lat,Long,,Taget Cell ID,Lat,Long
MOHZ84_A,30.70161,76.68337,,ABDA07_A,31.99894,75.03014
MOHZ84_B,30.70161,76.68337,,ABDA07_B,31.99894,75.03014
MOHZ84_C,30.70161,76.68337,,ABH102_A,30.15222,74.19862
LUDX39_A,30.86654,75.93323,,ABH102_B,30.15222,74.19862
LUDX39_B,30.86654,75.93323,,ABH201_A,30.14663,74.19832
LUDX39_C,30.86654,75.93323,,ABH201_B,30.14663,74.19832
KHR372_A,30.721,76.65814,,ABH214_A,30.14787,74.19216
KHR372_B,30.721,76.65814,,ABH214_B,30.14787,74.19216
KHR372_C,30.721,76.65814,,ABH287_A,30.14047,74.20593
LUD741_A,30.94948,75.90089,,ABH287_B,30.14047,74.20593
LUD741_B,30.94948,75.90089,,ABH300_A,30.15198,74.20396
LUD741_C,30.94948,75.90089,,ABH300_B,30.15198,74.20396
GOB747_A,30.86452,75.94122,,ABH302_A,30.14557,74.19506
GOB747_B,30.86452,75.94122,,ABH302_B,30.14557,74.19506
GOB747_C,30.86452,75.94122,,ABH304_A,30.16161,74.21521
LUDN13_A,30.9307,75.85402,,ABH304_B,30.16161,74.21521
LUDN13_B,30.9307,75.85402,,ABH305_A,30.1508,74.21422
LUDN13_C,30.9307,75.85402,,ABH305_B,30.1508,74.21422
KPL679_A,31.31887,75.33366,,ABH306_A,30.13152,74.1903
KPL679_B,31.31887,75.33366,,ABH306_B,30.13152,74.1903
KPL679_C,31.31887,75.33366,,ABH307_A,30.17141,74.18242
LUD189_A,30.94138,75.85217,,ABH307_B,30.17141,74.18242
LUD189_B,30.94138,75.85217,,ABH308_A,30.13293,74.17203
LUD189_C,30.94138,75.85217,,ABH308_B,30.13293,74.17203
LUD400_A,30.95259,75.88287,,ABH323_A,30.14971,74.20187
LUD400_B,30.95259,75.88287,,ABH323_B,30.14971,74.20187
LUD400_C,30.95259,75.88287,,ABH398_A,30.16454,74.21102
LUDA45_A,30.89626,75.89114,,ABH398_B,30.16454,74.21102
LUDA45_B,30.89626,75.89114,,ABH419_A,30.13053,74.1976
LUDA45_C,30.89626,75.89114,,ABH419_B,30.13053,74.1976
MGGR90_A,30.6608,76.28143,,ABH420_A,30.15331,74.19101
MGGR90_b,30.6608,76.28143,,ABH420_B,30.15331,74.19101
MGGR90_C,30.6608,76.28143,,ABH455_A,30.15591,74.21144
MKRN74_A,31.95566,75.61418,,ABH455_B,30.15591,74.21144
MKRN74_B,31.95566,75.61418,,ABH531_A,30.12787,74.19018
MKRN74_C,31.95566,75.61418,,ABH531_B,30.12787,74.19018
MLK927_A,30.53351,75.8715,,ABH532_A,30.15019,74.18258
MLK927_b,30.53351,75.8715,,ABH532_B,30.15019,74.18258
MLK927_C,30.53351,75.8715,,ABH533_A,30.16399,74.20769
KHRR58_A,30.73068,76.66335,,ABH533_B,30.16399,74.20769
KHRR58_B,30.73068,76.66335,,ABH534_A,30.13715,74.22317
KHRR58_C,30.73068,76.66335,,ABH534_B,30.13715,74.22317
LUDN77_A,30.95709,75.85448,,ABH536_A,30.13688,74.21179
LUDN77_B,30.95709,75.85448,,ABH536_B,30.13688,74.21179
LUDN77_C,30.95709,75.85448,,ABHR07_A,30.14618,74.20554
PKLS24_A,30.71585,76.83607,,ABHR07_B,30.14618,74.20554
PKLS24_B,30.71585,76.83607,,ABHR29_A,30.14259,74.19275
PKLS24_C,30.71585,76.83607,,ABHR29_B,30.14259,74.19275
CHD800_A,30.69229,76.7898,,ABHR40_A,30.13328,74.19736
CHD800_B,30.69229,76.7898,,ABHR40_B,30.13328,74.19736
CHD800_C,30.69229,76.7898,,ABHR62_A,30.13191,74.20865
CHDS78_A,30.72465,76.84219,,ABHR62_B,30.13191,74.20865
CHDS78_B,30.72465,76.84219,,ABHR64_A,30.13514,74.20169
CHDS78_C,30.72465,76.84219,,ABHR64_B,30.13514,74.20169
LUD770_A,30.86208,75.90466,,ABHR79_A,30.16131,74.18599
LUD770_B,30.86208,75.90466,,ABHR79_B,30.16131,74.18599
LUD770_C,30.86208,75.90466,,ABHR87_A,30.13915,74.18516
LUD782_A,30.94263,75.85609,,ABHR87_B,30.13915,74.18516
LUD782_B,30.94263,75.85609,,ABIA11_A,31.09348,76.55177
LUD782_C,30.94263,75.85609,,ABIA11_B,31.09348,76.55177
CHR856_A,31.25244,75.6966,,ABKR78_A,32.06473,75.41963
CHR856_B,31.25244,75.6966,,ABKR78_B,32.06473,75.41963
CHR856_C,31.25244,75.6966,,ABR558_A,30.16474,74.16445
SNMJ15_A,30.73128,76.6551,,ABR558_B,30.16474,74.16445
SNMJ15_B,30.73128,76.6551,,ABUL40_A,30.13994,74.5398
SNMJ15_C,30.73128,76.6551,,ABUL40_B,30.13994,74.5398
PKU260_A,30.71001,74.31071,,ADDA36_A,31.84512,75.43222
PKU260_B,30.71001,74.31071,,ADDA36_B,31.84512,75.43222
SDRN64_A,30.61604,76.8959,,ADL183_A,31.73074,74.83228
SDRN64_B,30.61604,76.8959,,ADMK81_A,29.71558,75.32892
SDRN64_C,30.61604,76.8959,,ADMK81_B,29.71558,75.32892
LUD570_A,30.85347,75.91022,,ADN590_A,31.42439,74.93755
LUD570_B,30.85347,75.91022,,ADN590_B,31.42439,74.93755
LUD570_C,30.85347,75.91022,,ADNA91_A,29.81424,76.03582
CHT184_C,30.61436,76.78887,,ADNA91_B,29.81424,76.03582
BON386_A,31.17937,74.57989,,ADP116_A,31.43468,75.72466
BON386_B,31.17937,74.57989,,ADP116_B,31.43468,75.72466
BON386_C,31.17937,74.57989,,ADP125_A,31.42974,75.70634
LDH181_C,30.94696,75.84662,,ADP125_B,31.42974,75.70634
CHDH17_A,30.69022,76.79129,,ADP505_A,31.43255,75.72982
CHDH17_B,30.69022,76.79129,,ADP505_B,31.43255,75.72982
CHDH17_C,30.69022,76.79129,,ADP670_A,31.42797,75.71978
BGLI34_A,30.72833,76.69283,,ADP670_B,31.42797,75.71978
BGLI34_B,30.72833,76.69283,,ADPR39_A,31.42496,75.70969
BGLI34_C,30.72833,76.69283,,ADPR39_B,31.42496,75.70969
CHDX72_A,30.70599,76.75804,,ADPR84_A,31.43663,75.71684
CHDX72_B,30.70599,76.75804,,ADPR84_B,31.43663,75.71684
CHDX72_C,30.70599,76.75804,,ADRM60_A,31.02024,75.46579
LUD278_A,30.92799,75.86506,,ADRM60_B,31.02024,75.46579
LUD278_B,30.92799,75.86506,,ADWL97_A,31.56732,75.93426
LUD278_C,30.92799,75.86506,,ADWL97_B,31.56732,75.93426
PKLS72_A,30.69514,76.83209,,AGKT95_A,31.27836,74.65182
PKLS72_B,30.69514,76.83209,,AGKT95_B,31.27836,74.65182
PKLS72_C,30.69514,76.83209,,AGR374_A,30.68517,75.82468
CHD211_A,30.73811,76.72081,,AGR374_B,30.68517,75.82468
CHD211_B,30.73811,76.72081,,AGR472_A,30.66994,75.82522
CHD211_C,30.73811,76.72081,,AGR472_B,30.66994,75.82522
CHDX21_A,30.70656,76.75999,,AGR473_A,30.67894,75.82196
CHDX21_B,30.70656,76.75999,,AGR473_B,30.67894,75.82196
CHDX21_C,30.70656,76.75999,,AGRH06_A,30.68258,75.83096
JLN224_A,31.32702,75.53002,,AGRH06_B,30.68258,75.83096
JLN224_B,31.32702,75.53002,,AGRH13_A,30.67357,75.82341
JLN224_C,31.32702,75.53002,,AGRH13_B,30.67357,75.82341
CHD165_A,30.7575,76.73322,,AGRH24_A,30.67569,75.82464
CHD165_B,30.7575,76.73322,,AGRH24_B,30.67569,75.82464
CHD165_C,30.7575,76.73322,,AHMD13_A,31.00901,76.5729
CHDZ43_A,30.68499,76.76142,,AHMD13_B,31.00901,76.5729
CHDZ43_B,30.68499,76.76142,,AHOR49_A,31.02824,75.86255
CHDZ43_C,30.68499,76.76142,,AHOR49_B,31.02824,75.86255
LUD448_A,30.89854,75.94119,,AHRN49_A,31.42134,75.84192
LUD448_B,30.89854,75.94119,,AHRN49_B,31.42134,75.84192
LUD448_C,30.89854,75.94119,,AIM145_A,30.161003,74.930291
MOHX32_A,30.69107,76.69426,,AIM145_B,30.161003,74.930291
MOHX32_B,30.69107,76.69426,,AIMA76_A,31.89539,75.63485
MOHX32_C,30.69107,76.69426,,AIMA76_B,31.89539,75.63485
LUD328_A,30.94381,75.84647,,AIMS41_A,30.16016,74.93234
LUD328_B,30.94381,75.84647,,AIMS41_B,30.16016,74.93234
LUD328_C,30.94381,75.84647,,AJIT81_A,30.48266,74.86077
BTN397_A,30.19019,74.92905,,AJIT81_B,30.48266,74.86077
BTN397_B,30.19019,74.92905,,AJN145_A,31.84352,74.75947
BTN397_C,30.19019,74.92905,,AJN145_B,31.84352,74.75947
GOB984_A,30.85975,75.94218,,AJN535_A,31.84347,74.76476
GOB984_B,30.85975,75.94218,,AJN535_B,31.84347,74.76476
GOB984_C,30.85975,75.94218,,AJN536_A,31.83817,74.75371
JLN686_A,31.35878,75.59846,,AJN536_B,31.83817,74.75371
JLN686_B,31.35878,75.59846,,AJN686_A,31.84875,74.75912
JLN686_C,31.35878,75.59846,,AJN686_B,31.84875,74.75912
KOTI63_A,30.9448,75.13459,,AJND05_A,30.80309,75.97716
KOTI63_B,30.9448,75.13459,,AJNH25_A,31.32313,75.90028
KOTI63_C,30.9448,75.13459,,AJNH25_B,31.32313,75.90028
LUD674_A,30.90441,75.8729,,AJNL26_A,31.83868,74.76746
LUD674_B,30.90441,75.8729,,AJNL26_B,31.83868,74.76746
LUD674_C,30.90441,75.8729,,AJNL27_A,31.82803,74.76317
LUDX20_A,30.85442,75.90632,,AJNL27_B,31.82803,74.76317
LUDX20_B,30.85442,75.90632,,AJOR81_A,30.37255,76.54904
LUDX20_C,30.85442,75.90632,,AJOR81_B,30.37255,76.54904
AUJ813_A,30.76493,76.63582,,AJWL94_A,31.55699,75.92681
AUJ813_B,30.76493,76.63582,,AJWL94_B,31.55699,75.92681
AUJ813_C,30.76493,76.63582,,AJWL95_A,31.56083,75.91817
BAR234_A,30.62834,76.78285,,AJWL95_B,31.56083,75.91817
BAR234_B,30.62834,76.78285,,AKAB13_A,30.95037,76.57322
BAR234_C,30.62834,76.78285,,AKAB13_B,30.95037,76.57322
KHRR99_A,30.71592,76.65185,,AKAL35_A,31.05213,75.76241
KHRR99_B,30.71592,76.65185,,AKAL35_B,31.05213,75.76241
KHRR99_C,30.71592,76.65185,,AKAR27_A,31.89794,75.10362
LUDX43_A,30.84865,75.89786,,AKAR27_B,31.89794,75.10362
LUDX43_B,30.84865,75.89786,,AKBR62_A,30.65698,75.85468
LUDX43_C,30.84865,75.89786,,AKBR62_B,30.65698,75.85468
TRT704_A,31.45344,74.93969,,AKHR32_A,30.74843,75.48307
TRT704_B,31.45344,74.93969,,AKHR32_B,30.74843,75.48307
TRT704_C,31.45344,74.93969,,AKL683_A,30.26338,75.77778
NORO89_A,30.95879,75.86132,,AKL994_A,31.25561,75.81064
NORO89_B,30.95879,75.86132,,AKL994_B,31.25561,75.81064
NORO89_C,30.95879,75.86132,,AKLA23_A,30.51699,75.16704
CHRU35_A,31.24772,75.70443,,AKLA23_B,30.51699,75.16704
CHRU35_B,31.24772,75.70443,,AKLA56_A,30.17898,75.39484
CHRU35_C,31.24772,75.70443,,AKLN92_A,30.36844,74.88938
BWP601_A,30.57423,76.90586,,AKLN92_B,30.36844,74.88938
BWP601_B,30.57423,76.90586,,AKOI69_A,30.28328,75.84102
BWP601_C,30.57423,76.90586,,AKRA55_A,31.73661,75.04319
LUDN79_A,30.95175,75.83885,,AKRA55_B,31.73661,75.04319
LUDN79_B,30.95175,75.83885,,AKT285_A,31.22314,74.61901
LUDN79_C,30.95175,75.83885,,AKT285_B,31.22314,74.61901
LUD974_A,30.92401,75.94352,,AKT285_C,31.22314,74.61901
LUD974_B,30.92401,75.94352,,AKWL34_A,29.86655,75.41974
LUD974_C,30.92401,75.94352,,AKWL34_B,29.86655,75.41974
PND831_A,30.61663,76.87534,,ALAL35_A,30.37012,75.72266
PND831_B,30.61663,76.87534,,ALCR22_A,31.16174,76.12273
PND831_C,30.61663,76.87534,,ALCR22_B,31.16174,76.12273
BANR05_A,30.56201,76.72265,,ALH295_A,30.39866,76.15705
BANR05_B,30.56201,76.72265,,ALH295_B,30.39866,76.15705
BANR05_C,30.56201,76.72265,,ALIP74_A,31.15864,76.13376
SNG202_A,30.53723,75.86467,,ALIP74_B,31.15864,76.13376
SNG202_B,30.53723,75.86467,,ALKE65_A,30.34274,75.33615
SNG202_C,30.53723,75.86467,,ALKE65_B,30.34274,75.33615
BLPR30_A,30.75822,76.69965,,ALKH62_A,31.78944,75.49923
BLPR30_B,30.75822,76.69965,,ALKH62_B,31.78944,75.49923
BLPR30_C,30.75822,76.69965,,ALKH71_A,30.64687,74.91125
FTP400_A,31.05128,75.11281,,ALKH71_B,30.64687,74.91125
FTP400_B,31.05128,75.11281,,ALKH75_A,30.27626,74.51024
FTP400_C,31.05128,75.11281,,ALKN44_A,32.16622,75.47186
KHR875_A,30.75786,76.64825,,ALKN44_B,32.16622,75.47186
KHR875_B,30.75786,76.64825,,ALM199_A,30.26145,74.42104
KHR875_C,30.75786,76.64825,,ALM199_B,30.26145,74.42104
ATR835_A,31.59694,74.60838,,ALM464_A,30.12444,74.15539
ATR835_B,31.59694,74.60838,,ALM464_B,30.12444,74.15539
ATR835_C,31.59694,74.60838,,ALMP62_A,31.74382,75.58347
DTN131_A,31.37595,75.00083,,ALMP62_B,31.74382,75.58347
DTN131_B,31.37595,75.00083,,ALO231_A,30.43512,76.2896
DTN131_C,31.37595,75.00083,,ALO231_B,30.43512,76.2896
GAGO71_A,31.43727,74.73655,,ALPR09_A,29.66935,75.31536
GAGO71_B,31.43727,74.73655,,ALPR09_B,29.66935,75.31536
GAGO71_C,31.43727,74.73655,,ALPR15_A,31.00915,74.90145
LNGY25_A,31.10875,76.16989,,ALPR15_B,31.00915,74.90145
LNGY25_B,31.10875,76.16989,,ALPR61_A,30.80083,76.62881
LNGY25_C,31.10875,76.16989,,ALPR61_B,30.80083,76.62881
RAL891_C,30.11708,75.43597,,ALR915_A,30.80479,75.86089
SHUT25_A,30.96947,75.86383,,ALR915_B,30.80479,75.86089
